k,acc
1,0.92
2,0.93
3,0.92
4,0.915
5,0.91
6,0.925
7,0.93
8,0.91
9,0.925
10,0.925
11,0.93
12,0.92
13,0.93
14,0.915
15,0.925
16,0.915
17,0.92
18,0.92
19,0.92
20,0.92
21,0.915
22,0.91
23,0.91
24,0.91
25,0.91
26,0.91
27,0.91
28,0.895
29,0.9
30,0.9
31,0.9
32,0.905
33,0.905
34,0.9
35,0.905
36,0.905
37,0.905
38,0.9
39,0.9
40,0.9
41,0.9
42,0.9
43,0.9
44,0.9
45,0.895
46,0.9
47,0.9
48,0.89
49,0.885
50,0.89
51,0.89
52,0.89
53,0.895
54,0.885
55,0.89
56,0.885
57,0.885
58,0.885
59,0.885
60,0.885
61,0.885
62,0.885
63,0.885
64,0.88
65,0.88
66,0.875
67,0.875
68,0.875
69,0.875
70,0.875
71,0.875
72,0.875
73,0.875
74,0.875
75,0.875
76,0.875
77,0.87
78,0.87
79,0.87
80,0.875
81,0.875
82,0.875
83,0.87
84,0.87
85,0.875
86,0.87
87,0.87
88,0.875
89,0.875
90,0.875
91,0.87
92,0.875
93,0.87
94,0.87
95,0.87
96,0.87
97,0.865
98,0.865
99,0.865
100,0.865
101,0.865
102,0.865
103,0.865
104,0.865
105,0.865
106,0.865
107,0.865
108,0.865
109,0.865
110,0.865
111,0.865
112,0.855
113,0.855
114,0.855
115,0.855
116,0.855
117,0.855
118,0.855
119,0.855
120,0.85
121,0.85
122,0.85
123,0.85
124,0.85
125,0.85
126,0.845
127,0.845
128,0.845
129,0.845
130,0.84
131,0.84
132,0.84
133,0.84
134,0.84
135,0.84
136,0.84
137,0.84
138,0.84
139,0.84
140,0.835
141,0.835
142,0.835
143,0.835
144,0.835
145,0.835
146,0.835
147,0.84
148,0.84
149,0.84
150,0.84
151,0.84
152,0.84
153,0.84
154,0.84
155,0.84
156,0.84
157,0.84
158,0.84
159,0.84
160,0.84
161,0.84
162,0.84
163,0.84
164,0.84
165,0.84
166,0.84
167,0.84
168,0.84
169,0.84
170,0.84
171,0.84
172,0.84
173,0.84
174,0.84
175,0.84
176,0.84
177,0.84
178,0.84
179,0.84
180,0.84
181,0.84
182,0.84
183,0.84
184,0.84
185,0.84
186,0.84
187,0.84
188,0.84
189,0.84
190,0.84
191,0.84
192,0.84
193,0.84
194,0.84
195,0.84
196,0.84
197,0.84
198,0.84
199,0.84
200,0.84
